index	0	1	2	3	4	5	6
0	 79.406	 nan	 nan	 nan	 nan	 nan	 nan
1	 78.124	 nan	 nan	 nan	 nan	 nan	 nan
2	 75.226	 nan	 nan	 nan	 nan	 nan	 nan
3	 76.468	 nan	 nan	 nan	 nan	 nan	 nan
4	 80.694	 nan	 nan	 nan	 nan	 nan	 nan
5	 80.919	 nan	 nan	 nan	 nan	 nan	 nan
6	 79.952	 nan	 nan	 nan	 nan	 nan	 nan
7	 79.316	 nan	 nan	 nan	 nan	 nan	 nan
8	 77.678	 nan	 nan	 nan	 nan	 nan	 nan
9	 80.443	 nan	 nan	 nan	 nan	 nan	 nan
10	 77.094	 nan	 nan	 nan	 nan	 nan	 nan
11	 76.677	 nan	 nan	 nan	 nan	 nan	 nan
12	 83.740	 nan	 nan	 nan	 nan	 nan	 nan
13	 85.463	 nan	 nan	 nan	 nan	 nan	 nan
14	 85.795	 nan	 nan	 nan	 nan	 nan	 nan
15	 93.008	 nan	 nan	 nan	 nan	 nan	 nan
16	 94.846	 nan	 nan	 nan	 nan	 nan	 nan
17	 88.176	 nan	 nan	 nan	 nan	 nan	 nan
18	 88.240	 nan	 nan	 nan	 nan	 nan	 nan
19	 95.581	 nan	 nan	 nan	 nan	 nan	 nan
20	 97.210	 nan	 nan	 nan	 nan	 nan	 nan
21	 97.152	 nan	 nan	 nan	 nan	 nan	 nan
22	 98.611	 nan	 nan	 nan	 nan	 nan	 nan
23	 97.269	 nan	 nan	 nan	 nan	 nan	 nan
24	 93.856	 nan	 nan	 nan	 nan	 nan	 nan
25	 93.049	 nan	 nan	 nan	 nan	 nan	 nan
26	 99.823	 nan	 nan	 nan	 nan	 nan	 nan
27	 97.645	 nan	 nan	 nan	 nan	 nan	 nan
28	 91.756	 nan	 nan	 nan	 nan	 nan	 nan
29	 91.139	 nan	 nan	 nan	 nan	 nan	 nan
30	 92.443	 nan	 nan	 nan	 nan	 nan	 nan
31	 90.973	 nan	 nan	 nan	 nan	 nan	 nan
32	 90.900	 nan	 nan	 nan	 nan	 nan	 nan
33	 94.423	 nan	 nan	 nan	 nan	 nan	 nan
34	 85.924	 nan	 nan	 nan	 nan	 nan	 nan
35	 97.044	 nan	 nan	 nan	 nan	 nan	 nan
36	 91.820	 nan	 nan	 nan	 nan	 nan	 nan
37	 91.445	 nan	 nan	 nan	 nan	 nan	 nan
38	 97.531	 nan	 nan	 nan	 nan	 nan	 nan
39	 91.907	 nan	 nan	 nan	 nan	 nan	 nan
40	 nan	 57.641	 90.355	 nan	 nan	 nan	 nan
41	 nan	 58.794	 88.712	 nan	 nan	 nan	 nan
42	 nan	 53.695	 84.575	 nan	 nan	 nan	 nan
43	 nan	 69.949	 90.036	 nan	 nan	 nan	 nan
44	 nan	 63.965	 102.590	 nan	 nan	 nan	 nan
45	 nan	 68.732	 101.514	 nan	 nan	 nan	 nan
46	 nan	 56.374	 100.352	 nan	 nan	 nan	 nan
47	 nan	 56.561	 102.343	 nan	 nan	 nan	 nan
48	 nan	 61.567	 99.921	 nan	 nan	 nan	 nan
49	 nan	 58.526	 93.757	 nan	 nan	 nan	 nan
50	 nan	 57.129	 88.366	 nan	 nan	 nan	 nan
51	 nan	 63.215	 97.586	 nan	 nan	 nan	 nan
52	 nan	 56.933	 97.414	 nan	 nan	 nan	 nan
53	 nan	 54.163	 108.385	 nan	 nan	 nan	 nan
54	 nan	 64.350	 104.665	 nan	 nan	 nan	 nan
55	 nan	 69.842	 99.508	 nan	 nan	 nan	 nan
56	 nan	 72.299	 97.363	 nan	 nan	 nan	 nan
57	 nan	 72.104	 nan	 75.784	 78.506	 nan	 nan
58	 nan	 69.533	 nan	 80.612	 84.184	 nan	 nan
59	 nan	 78.165	 nan	 80.914	 84.986	 nan	 nan
60	 nan	 80.111	 nan	 80.884	 83.371	 nan	 nan
61	 nan	 76.518	 nan	 77.087	 88.741	 nan	 nan
62	 nan	 75.598	 nan	 75.532	 82.416	 nan	 nan
63	 nan	 66.779	 nan	 68.169	 83.362	 nan	 nan
64	 nan	 69.461	 nan	 62.393	 81.851	 nan	 nan
65	 nan	 68.524	 nan	 69.919	 85.951	 nan	 nan
66	 nan	 67.175	 nan	 65.909	 78.123	 nan	 nan
67	 nan	 63.421	 nan	 65.586	 78.637	 nan	 nan
68	 nan	 72.850	 nan	 65.668	 92.903	 nan	 nan
69	 nan	 67.472	 nan	 68.701	 85.791	 nan	 nan
70	 nan	 74.300	 nan	 69.318	 96.028	 nan	 nan
71	 nan	 79.346	 nan	 73.914	 87.768	 nan	 nan
72	 nan	 77.324	 nan	 71.944	 89.334	 nan	 nan
73	 nan	 73.287	 nan	 79.547	 88.595	 nan	 nan
74	 nan	 71.715	 nan	 79.340	 88.288	 nan	 nan
75	 nan	 73.563	 nan	 86.565	 84.570	 nan	 nan
76	 nan	 73.125	 nan	 69.539	 87.474	 nan	 nan
77	 nan	 75.767	 nan	 68.281	 77.332	 nan	 nan
78	 nan	 72.894	 nan	 61.418	 77.115	 nan	 nan
79	 nan	 76.922	 nan	 66.069	 71.067	 nan	 nan
80	 nan	 82.648	 nan	 75.652	 67.538	 nan	 nan
81	 nan	 79.844	 nan	 73.949	 72.348	 nan	 nan
82	 nan	 81.192	 nan	 72.293	 nan	 72.843	 87.823
83	 nan	 75.827	 nan	 73.564	 nan	 76.744	 97.909
84	 nan	 72.720	 nan	 73.827	 nan	 68.414	 93.569
85	 nan	 65.794	 nan	 76.687	 nan	 67.462	 88.918
86	 nan	 65.478	 nan	 73.789	 nan	 66.283	 82.646
87	 nan	 76.080	 nan	 67.177	 nan	 81.742	 83.721
88	 nan	 70.753	 nan	 74.132	 nan	 81.358	 90.143
89	 nan	 68.213	 nan	 72.334	 nan	 76.164	 86.493
90	 nan	 68.064	 nan	 75.636	 nan	 70.005	 96.457
91	 nan	 65.978	 nan	 76.313	 nan	 71.389	 98.859
92	 nan	 69.767	 nan	 66.128	 nan	 74.699	 95.650
93	 nan	 64.529	 nan	 66.757	 nan	 72.792	 88.909
