index	0	1	2	3	4	5	6
94	 nan	 66.853	 nan	 74.943	 nan	 69.937	 87.330
95	 nan	 64.831	 nan	 81.123	 nan	 73.257	 90.654
96	 nan	 66.379	 nan	 85.401	 nan	 66.548	 92.770
97	 nan	 74.268	 nan	 84.374	 nan	 65.740	 99.475
98	 nan	 82.900	 nan	 82.226	 nan	 65.142	 99.349
99	 nan	 76.467	 nan	 80.303	 nan	 70.275	 89.904
100	 nan	 74.632	 nan	 79.336	 nan	 69.149	 94.658
101	 nan	 78.493	 nan	 75.009	 nan	 73.189	 89.178
102	 nan	 72.806	 nan	 76.705	 nan	 67.920	 89.854
103	 nan	 81.676	 nan	 70.318	 nan	 70.328	 102.999
104	 nan	 76.286	 nan	 74.038	 nan	 66.440	 91.207
105	 nan	 75.421	 nan	 72.456	 nan	 67.179	 89.721
106	 nan	 81.467	 nan	 70.821	 nan	 65.615	 85.185
107	 nan	 78.108	 nan	 69.120	 nan	 67.933	 87.940
108	 nan	 80.726	 nan	 81.307	 nan	 71.904	 85.752
109	 nan	 73.987	 nan	 78.685	 nan	 72.475	 91.714
110	 nan	 77.420	 nan	 78.628	 nan	 64.102	 84.535
111	 nan	 80.282	 nan	 85.455	 nan	 60.211	 87.518
112	 nan	 79.809	 nan	 77.177	 nan	 65.089	 88.475
113	 nan	 76.300	 nan	 79.036	 nan	 67.385	 80.028
114	 nan	 74.533	 nan	 82.174	 nan	 64.406	 78.731
115	 nan	 81.868	 nan	 87.328	 nan	 77.005	 85.088
116	 nan	 76.395	 nan	 85.253	 nan	 86.768	 87.221
117	 nan	 76.586	 nan	 79.017	 nan	 78.795	 86.160
118	 nan	 83.498	 nan	 77.286	 nan	 77.183	 84.187
119	 nan	 77.096	 nan	 81.751	 nan	 82.595	 85.670
120	 nan	 81.107	 nan	 79.124	 nan	 84.911	 93.788
121	 nan	 69.088	 nan	 70.285	 nan	 79.682	 96.650
122	 nan	 70.459	 nan	 67.081	 nan	 83.090	 91.605
123	 nan	 77.013	 nan	 71.635	 nan	 85.722	 88.519
124	 nan	 68.306	 nan	 63.926	 nan	 82.265	 92.219
125	 nan	 73.664	 nan	 65.298	 nan	 82.327	 93.530
126	 nan	 78.179	 nan	 84.838	 nan	 79.238	 88.620
127	 nan	 72.780	 nan	 83.438	 nan	 82.072	 94.616
128	 nan	 67.842	 nan	 83.194	 nan	 79.204	 88.874
129	 nan	 68.758	 nan	 85.394	 nan	 89.027	 90.119
130	 nan	 nan	 nan	 76.536	 nan	 81.094	 92.815
131	 nan	 nan	 nan	 78.220	 nan	 83.221	 86.987
132	 nan	 nan	 nan	 80.557	 nan	 83.591	 94.368
133	 nan	 nan	 nan	 76.769	 nan	 69.883	 89.234
134	 nan	 nan	 nan	 84.381	 nan	 72.962	 96.989
135	 nan	 nan	 nan	 81.593	 nan	 73.698	 104.348
136	 nan	 nan	 nan	 75.691	 nan	 76.295	 97.170
137	 nan	 nan	 nan	 74.022	 nan	 81.583	 91.842
138	 nan	 nan	 nan	 77.501	 nan	 78.426	 82.768
139	 nan	 nan	 nan	 76.403	 nan	 76.957	 84.882
140	 nan	 nan	 nan	 73.886	 nan	 63.461	 80.586
141	 nan	 nan	 nan	 66.866	 nan	 63.709	 78.259
142	 nan	 nan	 nan	 72.485	 nan	 65.424	 86.734
143	 nan	 nan	 nan	 nan	 nan	 63.615	 87.997
144	 nan	 nan	 nan	 nan	 nan	 63.855	 84.568
145	 nan	 nan	 nan	 nan	 nan	 nan	 80.564
146	 nan	 nan	 nan	 nan	 nan	 nan	 86.240
147	 nan	 nan	 nan	 nan	 nan	 nan	 75.612
148	 nan	 nan	 nan	 nan	 nan	 nan	 79.856
149	 nan	 nan	 nan	 nan	 nan	 nan	 74.703
150	 nan	 nan	 nan	 nan	 nan	 nan	 74.610
151	 nan	 nan	 nan	 nan	 nan	 nan	 70.874
152	 nan	 nan	 nan	 nan	 nan	 nan	 73.886
153	 nan	 nan	 nan	 nan	 nan	 nan	 69.527
154	 nan	 nan	 nan	 nan	 nan	 nan	 68.515
155	 nan	 nan	 nan	 nan	 nan	 nan	 73.817
156	 nan	 nan	 nan	 nan	 nan	 nan	 69.471
157	 nan	 nan	 nan	 nan	 nan	 nan	 74.708
158	 nan	 nan	 nan	 nan	 nan	 nan	 79.459
159	 nan	 nan	 nan	 nan	 nan	 nan	 77.891
160	 nan	 nan	 nan	 nan	 nan	 nan	 71.550
161	 nan	 nan	 nan	 nan	 nan	 nan	 77.714
162	 nan	 nan	 nan	 nan	 nan	 nan	 83.197
163	 nan	 nan	 nan	 nan	 nan	 nan	 71.891
164	 nan	 nan	 nan	 nan	 nan	 nan	 76.796
165	 nan	 nan	 nan	 nan	 nan	 nan	 73.541
166	 nan	 nan	 nan	 nan	 nan	 nan	 82.102
167	 nan	 nan	 nan	 nan	 nan	 nan	 82.641
168	 nan	 nan	 nan	 nan	 nan	 nan	 94.938
169	 nan	 nan	 nan	 nan	 nan	 nan	 86.649
170	 nan	 nan	 nan	 nan	 nan	 nan	 82.511
171	 nan	 nan	 nan	 nan	 nan	 nan	 84.028
